TextCluster_cluster_,TextCluster_SVD1,TextCluster_SVD2,TextCluster_SVD3,TextCluster_SVD4,TextCluster_SVD5,TextCluster_SVD6,TextCluster_SVD7,TextCluster_SVD8,TextCluster_SVD9,TextCluster_SVD10,TextTopic_1,TextTopic_2,TextTopic_3,TextTopic_4,TextTopic_5,TextTopic_6,TextTopic_7,TextTopic_8,TextTopic_9,TextTopic_10
$19,0.528346393,-0.151209916,0.29663058,-0.220562183,0.402653231,-0.133465308,0.04908727,-0.088111627,0.0010678,-0.08066233,0,0,0,0,0,0,0,0,0,1
$12,0.436513752,-0.098231999,0.231150034,-0.120271305,0.401090788,-0.162216244,0.068792115,-0.013753484,0.04449369,-0.073800745,0,1,0,0,0,0,0,0,0,0
$9,0.358151533,-0.053070119,0.169575741,-0.143069515,0.313206637,-0.124065999,0.03236435,0.007544329,-0.004665286,-0.005785432,0,0,0,0,0,0,1,0,0,1
$16,0.331521919,-0.015965966,0.135975618,-0.166080642,0.242698654,-0.104254258,0.028985855,-0.005070996,0.004668527,-0.034711723,0,0,0,0,0,0,0,0,0,1
$10,0.714479724,-0.118171692,0.188030992,0.268319473,0.134597055,-0.029046477,-0.131390977,-0.048243326,0.213584282,0.104752425,0,0,0,0,0,0,0,0,0,0
$15,0.35716867,-0.10767859,0.11124319,0.110377739,-0.058486558,0.066650076,-0.250363826,-0.114724388,0.057963063,0.091476054,0,0,0,0,0,0,0,1,0,0
$15,0.523847345,-0.133696048,0.109555164,0.214337935,-0.01075409,0.044783705,-0.275314454,-0.086808562,0.073608356,0.026723272,0,0,0,0,0,0,0,1,0,0
$8,0.578906299,-0.109305938,0.245891282,0.295319121,0.00767041,0.051153212,-0.202230664,-0.049514046,0.002461116,0.075475316,1,0,0,0,0,0,0,0,0,0
$8,0.486815711,-0.06188224,0.175515671,0.22274211,-0.068162374,-0.084826879,-0.127305514,-0.071386937,0.061957807,0.099880437,1,0,0,1,0,0,1,1,0,0
$15,0.357028659,-0.106095192,0.111710443,0.108689358,-0.058785241,0.067979128,-0.249953549,-0.115628927,0.057153183,0.091271107,0,0,0,0,0,0,0,1,0,0
$23,0.564008485,-0.045532441,0.268715267,0.112094727,0.125784416,-0.091846609,-0.03601365,0.037393639,-0.015157134,0.096200832,0,0,0,0,0,0,0,0,0,0
$8,0.549020254,-0.054845653,0.267431065,0.19506239,0.080535973,-0.098039153,-0.031645812,-0.008378657,-0.004109886,0.083209846,0,0,0,0,0,0,1,0,0,0
$10,0.276416364,-0.031306104,0.058814181,0.017661961,-0.001888207,0.048229969,-0.002262868,0.0318503,-0.158352309,0.023395967,0,0,1,0,0,0,0,0,0,0
$10,0.276416364,-0.031306104,0.058814181,0.017661961,-0.001888207,0.048229969,-0.002262868,0.0318503,-0.158352309,0.023395967,0,0,1,0,0,0,0,0,0,0
$9,0.687709828,-0.111126377,0.023184254,0.174609805,0.255915969,-0.063351053,0.053688337,0.13990746,-0.014504153,-0.028041557,0,0,0,0,0,0,0,0,0,0
$9,0.612879538,-0.118727385,0.233680527,0.067081669,0.164806891,-0.121983458,0.098696866,0.023731537,-0.138399719,-0.011583153,0,0,0,0,0,0,0,0,0,0
$10,0.573485383,-0.141727668,0.249344509,0.091957756,-0.014534293,0.149914318,-0.044858052,0.10389102,-0.135818746,-0.015503915,0,0,1,0,0,0,0,0,0,0
$18,0.664310726,-0.120359502,0.290024999,0.277546332,0.018200861,-0.086316601,-0.134755949,0.019121803,0.130873762,0.084003437,0,0,0,1,0,0,0,0,0,0
$10,0.615242938,-0.116470276,0.324104547,0.286168518,0.013222637,0.095395582,-0.189961774,-0.041814577,0.080958419,0.133201776,0,0,0,0,0,0,0,0,0,0
$23,0.56001409,-0.039874156,0.109275687,0.055603473,0.225837226,-0.060129734,0.002262432,0.001720748,0.000601341,0.154052426,0,0,0,0,0,0,1,0,0,0
$15,0.492833791,0.035799659,0.015112952,-0.015984629,0.163949829,-0.141572134,-0.015620263,-0.01687993,0.004161626,0.046452629,0,0,0,0,0,0,1,0,0,0
$10,0.491143503,-0.095672639,0.159926164,-0.042489678,-0.155861937,0.074513598,-0.057144218,0.083050738,-0.103267958,0.044333147,0,0,1,0,0,0,0,0,0,0
$12,0.470725099,-0.10656979,0.304348404,-0.229405651,0.482768538,-0.17605142,0.148449104,-0.025907287,-0.047943677,-0.076778981,0,1,0,0,0,0,0,0,0,0
$19,0.518466161,-0.285245061,-0.045969236,-0.094899155,0.35757988,-0.056463989,0.257948294,0.014460855,0.020183713,-0.100329022,0,0,0,0,0,1,0,0,0,0
$18,0.578753054,-0.12003345,0.230658738,-0.096553178,0.293368923,-0.004332446,0.009031941,0.081943179,-0.138217781,-0.032453671,0,0,0,0,0,0,0,0,0,0
$23,0.629974233,-0.083985238,0.218758569,0.093817614,0.110493036,-0.163300869,0.045153699,-0.001014486,-0.149388553,-0.01982284,0,0,0,0,0,0,0,0,0,0
$12,0.358062056,-0.163323573,0.020638448,-0.099286701,0.32099144,-0.116333865,0.180337942,0.013811759,0.043184975,-0.087935114,0,1,0,0,0,1,0,0,0,0
$15,0.447892936,-0.062830461,0.2128838,0.116542044,-0.257401341,-0.371898947,0.051586644,-0.041584018,-0.071372796,-0.092663807,0,0,0,1,0,0,0,0,0,0
$9,0.367315562,-0.04586671,0.16436934,-0.144795885,0.309313713,-0.116065703,0.024635871,0.004768616,-0.012982229,-0.012318626,0,0,0,0,0,0,1,0,0,1
$19,0.626564647,-0.077402432,0.194303986,-0.125319558,0.436057246,-0.154614589,0.052165104,0.011306207,0.064329021,0.00750356,0,0,0,0,0,0,0,0,0,0
$19,0.409654607,-0.058783761,0.060315896,-0.122232272,0.27129125,-0.100411238,0.039622186,0.032054351,-0.030504027,-0.087579592,0,0,0,0,0,0,0,0,0,1
$19,0.637073433,-0.138973512,0.419856892,0.013035153,0.338341435,-0.068999402,-0.069029298,0.050810219,-0.012172381,0.022586014,0,0,0,0,0,0,0,0,0,0
$15,0.448940902,-0.060813532,0.178111334,-0.0516929,0.228776852,-0.083650684,0.124145235,-0.00442512,-0.020937897,0.008455453,0,1,0,0,0,0,1,0,0,0
$19,0.448763106,0.019150403,0.150100233,-0.020462907,0.184230579,-0.05504888,0.051271788,0.023115836,-0.030025116,-0.038130237,0,1,0,0,0,0,0,0,0,0
$12,0.479112661,-0.10471519,0.111718872,-0.001203795,0.017781876,0.117609021,-0.070506783,-0.056470397,-0.059699518,-0.065459133,0,0,1,0,0,0,0,0,0,0
$19,0.542198828,-0.058144392,0.227118764,-0.14343239,0.357851667,-0.122695668,0.030694373,-0.00206427,-0.003872543,-0.021247269,0,0,0,0,0,0,0,0,0,1
$12,0.597215001,-0.12084149,0.219729349,0.089177174,-0.064460756,0.143982647,-0.121054423,0.207316509,-0.082542749,0.002249282,0,0,1,0,0,0,0,0,0,0
$12,0.500554469,-0.019251716,0.2457428,-0.016555707,0.295914299,-0.086703377,0.045182555,-0.027825953,-0.032199979,0.033631695,0,0,0,0,0,0,1,0,0,0
$12,0.373828555,-0.083681838,0.181240275,-0.085810099,0.282880773,-0.082583302,0.109602205,0.027209181,-0.023293444,-0.027720619,0,0,0,0,0,0,1,0,0,0
$12,0.387984864,-0.052940041,0.181351239,-0.059872673,0.271265129,-0.105990186,0.092140799,0.014069083,-0.01558441,0.013224743,0,0,0,0,0,0,1,0,0,0
$19,0.500340998,-0.097927605,0.199203761,-0.261711619,0.36492919,-0.124344676,0.04993906,-0.017466108,0.01679293,-0.087692506,0,0,0,0,0,0,0,0,0,1
$12,0.766363391,0.02885419,0.210852296,0.058151863,-0.020344677,0.066559675,-0.114258273,-0.012022194,-0.131320965,0.014349553,0,0,0,0,0,0,0,0,0,0
$19,0.336889356,-0.06690691,0.181217502,-0.077534062,0.251849694,-0.087813756,0.015051676,0.013281527,0.088395975,0.004924656,0,1,0,0,0,0,0,0,0,1
$15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$16,0.579607824,-0.124640484,0.232339657,-0.132966213,0.385800151,-0.064942703,0.043964183,0.034829908,-0.117538501,-0.047410503,0,0,0,0,0,0,0,0,0,1
$10,0.754698225,-0.18433395,0.348790003,0.23253667,-0.062895093,0.126898174,-0.144366178,-0.0087354,0.003460911,0.092731518,0,0,0,0,0,0,0,0,0,0
$16,0.660216608,-0.141594613,0.221932152,-0.026340636,0.16794597,0.010473816,0.012786864,0.048580623,-0.095716122,-0.100424604,0,0,0,0,0,0,0,0,0,0
$9,0.568910062,-0.003519535,0.12982194,-0.040862569,0.352420285,-0.180978596,0.038182171,0.006055228,-0.056648193,-0.008560313,0,0,0,0,0,0,1,0,0,0
$12,0.533748446,-0.096562878,0.185202233,0.052170529,0.005031552,0.109954384,-0.12646148,-0.095060136,-0.037810117,-0.072880133,1,0,0,0,0,0,0,0,0,0
$18,0.698243091,-0.077013564,0.333052147,0.334638504,0.048963006,-0.059363972,-0.14526102,-0.038695042,0.132828165,0.221119326,0,0,0,0,0,0,0,0,0,0
$19,0.47159121,-0.089236406,0.152580039,-0.071975623,0.378724389,-0.150032008,0.022408117,-0.00572381,-0.033686243,-0.029357698,0,0,0,0,0,0,1,0,0,1
$8,0.744302661,0.067714631,0.093272475,0.054207155,0.246516748,-0.144847993,0.028385552,-0.01411978,0.018169378,0.07197887,0,0,0,0,0,0,1,0,0,0
$19,0.649821921,-0.075403152,0.248375682,-0.14072388,0.375499331,-0.10443909,0.049605068,0.008946974,-0.021691943,0.034913676,0,0,0,0,0,0,1,0,0,1
$23,0.613563281,-0.119258732,0.171075073,0.19020275,0.098667553,-0.016562171,0.023601794,-0.063556383,-0.023790824,0.090318356,0,0,0,1,0,0,0,0,0,0
$19,0.712693872,-0.150516251,0.316539703,-0.022430153,0.079688418,-0.115193796,0.013515167,-0.134391565,0.059110979,0.018159205,0,0,0,1,0,0,0,0,0,1
$10,0.447752121,-0.052961406,0.166403858,0.118136536,-0.138123736,-0.12617188,0.009374529,0.006741726,0.016431731,0.117879223,0,0,0,1,0,0,0,0,0,0
$15,0.419464942,-0.118000858,0.168793292,-0.00764685,0.004672822,-0.049164537,0.092077471,-0.052175351,-0.159987949,-0.041102769,0,0,1,1,0,0,0,0,1,0
$9,0.547258119,-0.103322575,0.241318044,-0.205449543,0.402117348,-0.054625354,0.098279869,-0.016916399,-0.104277735,-0.056535442,0,0,0,0,0,0,0,0,0,1
$9,0.596332458,-0.099892862,0.370921019,-0.076908153,0.488183626,-0.205265295,0.062787268,0.035083519,0.025261823,-0.020114672,0,0,0,0,0,0,0,0,0,0
$18,0.639924237,-0.051971451,0.241337908,0.289338175,0.0503642,0.038356661,-0.208501546,0.024522315,0.101905948,0.088710681,1,0,0,0,0,0,0,0,0,0
$16,0.69062473,-0.040646747,0.238157572,0.227158202,-0.023701023,0.069608245,-0.236235434,-0.105317823,-9.64E-05,-0.014412438,0,0,0,0,0,0,0,0,0,0
$10,0.615034246,-0.166546942,0.305043741,0.382458048,-0.010253786,0.148269549,-0.309711976,0.047847335,0.050186832,0.000630265,0,0,0,0,0,0,0,0,0,0
$10,0.51511728,-0.115232993,0.143743333,0.263146534,0.010172024,0.079684913,-0.32903419,-0.126098922,0.169075883,-0.103754863,1,0,0,0,0,0,0,0,0,0
$10,0.595919003,-0.152721479,0.24905281,-0.011807641,-0.056052988,0.142033087,-0.055484154,0.047207082,-0.164093233,0.014714237,0,0,1,0,0,0,0,0,0,0
$15,0.363093052,-0.028719694,0.057191401,0.097777686,0.070334409,-0.074787967,-0.016832663,0.084078402,-0.001039772,0.046109025,0,0,0,0,0,0,1,0,0,0
$15,0.397391362,0.013481943,0.158768534,0.147497423,-0.029054782,-0.095891975,-0.067413255,0.049463369,0.088999234,0.206263655,0,0,0,1,0,0,0,0,0,0
$15,0.445071719,-0.224646732,-0.072582913,0.239141045,0.062775924,0.064713827,-0.222366705,-0.175243568,0.067838217,-0.220564266,1,0,0,0,0,1,0,0,0,0
$23,0.571792564,0.200590987,0.016160089,0.187056255,0.105219164,-0.090284061,-0.028223937,-0.079199184,0.026920529,0.022910315,0,0,0,1,0,0,0,0,0,0
$10,0.687174942,-0.212689014,0.097551733,0.294601508,0.064943846,0.101762773,-0.291571819,-0.073085795,0.069814104,-0.088281674,1,0,0,0,0,0,0,0,0,0
$19,0.528519076,-0.0982319,0.361562512,-0.118114816,0.525618276,-0.137247556,0.162318019,-0.03808134,-0.01980156,-0.049992696,0,1,0,0,0,0,0,0,0,0
$19,0.561437695,-0.162290203,0.23703791,-0.223281853,0.363458531,-0.088443108,0.056424722,-0.049610304,-0.029937791,-0.059210671,0,0,0,0,0,0,0,0,0,1
$19,0.550783974,-0.182248441,0.307960566,-0.208353959,0.34292418,-0.17466974,0.067230011,-0.085213944,-0.008453016,-0.104287643,0,0,0,0,0,0,0,0,0,1
$16,0.691503557,-0.12214867,0.271383669,0.133636786,0.06017893,0.055924989,-0.025815092,0.174207963,-0.085612676,-0.038180017,0,0,1,0,0,0,0,0,0,0
$9,0.469906986,-0.049262694,0.141474442,-0.114118672,0.331076497,-0.144633293,0.012667533,0.022029354,0.002775058,0.011808796,0,0,0,0,0,0,1,0,0,1
$19,0.617219685,-0.148697404,0.308300253,-0.054482253,0.301914361,-0.140721651,0.058047575,0.057862164,0.083013055,0.012924975,0,1,0,0,0,0,0,0,0,0
$8,0.489088963,-0.004598094,0.159638541,-0.036574589,0.346353885,-0.101288477,0.026697043,0.046096144,-0.015133495,0.01786373,0,0,0,0,0,0,0,0,0,0
$12,0.624595149,-0.161306248,0.313397542,0.01153237,0.058298328,0.161596322,-0.038751996,0.051213698,-0.083039625,-0.009083035,0,0,1,0,0,0,0,0,0,0
$19,0.559147132,-0.127044508,0.322706799,-0.136456564,0.426025514,-0.096084913,0.050462596,-0.070701601,0.074783246,-0.022420752,0,0,0,0,0,0,0,0,0,1
$16,0.751504161,-0.16212715,0.156976662,-0.101622523,-0.042045271,0.032747815,0.066360225,0.039738459,-0.157349088,0.024640679,0,0,0,0,0,0,0,0,0,0
$15,0.324909963,0.033073436,0.033682408,0.021721928,-0.010341509,-0.019025457,-0.035275167,-0.009524385,0.062797551,0.253380313,0,0,0,1,0,0,0,0,0,0
$10,0.581167792,-0.149721395,0.176155105,-0.12433487,0.02554538,0.10054308,-0.09130248,-0.012341738,-0.098439902,-0.073161198,0,0,0,0,0,0,0,0,0,0
$19,0.504238411,-0.192941114,0.045085898,-0.110060401,0.442076305,-0.13370929,0.072129449,-0.067029841,-0.039222983,-0.119210743,0,0,0,0,0,1,0,0,0,1
$15,0.401178143,0.026247828,0.154896714,0.163625069,-0.008754166,-0.097862265,-0.023449112,-0.004223518,0.051560809,0.213860378,0,0,0,1,0,0,1,0,0,0
$19,0.461110224,-0.053921054,0.237926046,-0.129009884,0.36650333,-0.158470848,0.039806657,0.015328332,0.016233229,-0.032913426,0,0,0,0,0,0,0,0,0,1
$10,0.563476368,-0.141790218,0.2639502,0.305705309,-0.017469928,0.145313377,-0.277280972,-0.113283414,0.197903508,0.063413324,1,0,0,0,0,0,0,0,0,0
$10,0.651551919,-0.136704991,0.279381829,0.142740154,-0.09452558,0.122725003,-0.119478019,0.066506119,-0.115696668,0.005945905,0,0,1,0,0,0,0,0,0,0
$10,0.653331627,-0.18730111,0.275986982,0.080360345,-0.154642112,0.1379068,-0.043103712,0.04388109,-0.101105998,0.06259214,0,0,1,0,0,0,0,0,0,0
$10,0.675713827,-0.117648757,0.266544244,0.154496712,-0.103822029,0.083986697,-0.135657855,0.01435556,-0.125537383,0.006311399,0,0,1,0,0,0,0,0,0,0
$16,0.542894857,-0.031547054,0.189161283,0.128684492,0.031043398,-0.054818428,-0.125326725,0.014541105,-0.010952175,0.077818486,0,0,0,0,0,0,1,0,0,0
$9,0.636081802,-0.106202476,0.326659263,-0.07753613,0.413331153,-0.169586734,0.092160677,0.017388911,-0.025407252,-0.034833496,0,1,0,0,0,0,0,0,0,0
$16,0.705844247,-0.030865646,0.310056271,0.229267717,-0.06624166,-0.08449193,-0.01459233,0.271144607,0.066222817,0.116266109,0,0,0,0,0,0,0,0,0,0
$19,0.595417431,-0.047135867,0.357472181,-0.066280848,0.423514579,-0.188114872,0.001235305,-0.067714281,0.074978522,0.055799731,0,0,0,0,0,0,0,0,0,0
$9,0.393555703,-0.061698743,0.187960337,-0.09579889,0.357708152,-0.114674269,0.059650177,-0.020434482,0.017654005,-0.051912322,0,1,0,0,0,0,0,0,0,0
$12,0.636462227,-0.139262268,0.262956709,-0.066418362,-0.078421558,0.110281544,-0.151705084,0.028887216,-0.09852795,-0.040601347,0,0,1,0,0,0,0,0,0,0
$19,0.510971341,-0.093423094,0.182830313,-0.123776338,0.441144133,-0.189972323,0.067075941,-0.016476384,-0.042861138,-0.078248238,0,0,0,0,0,0,1,0,0,1
$23,0.719383683,-0.112535886,0.27035536,-0.009863649,-0.011359295,-0.243554003,0.098328221,-0.058060711,-0.049752301,-0.007047319,0,0,0,1,0,0,0,0,0,0
$16,0.556290892,-0.127395396,0.289902377,-0.074113249,-0.233748726,0.018868164,0.083117794,0.041663338,-0.141609593,-0.007319866,0,0,1,1,0,0,0,0,0,0
$12,0.501501345,-0.18645439,0.071342507,0.006922087,0.100981167,0.096724777,-0.093073941,-0.081258738,-0.020551409,-0.074365331,0,0,0,0,0,1,0,0,0,0
$23,0.730980694,-0.043138614,0.285206338,0.147361418,0.06676943,-0.131431271,-0.096061018,0.050597674,0.147444398,0.17752649,0,0,0,0,0,0,0,0,0,0
$9,0.46944258,-0.101334017,0.266791082,-0.1355106,0.499165753,-0.2128604,0.11112112,-0.037113459,-0.001957114,-0.102629743,0,1,0,0,0,0,0,0,0,0
$19,0.579016581,-0.123032159,0.279465893,-0.169973716,0.434805526,-0.167080929,0.08066188,-0.03196621,0.010336738,-0.030419783,0,1,0,0,0,0,0,0,0,1
$19,0.553226186,-0.117678937,0.318745568,-0.153110275,0.511783833,-0.140028561,0.028874338,0.018206334,0.026678504,-0.010544756,0,1,0,0,0,0,0,0,0,0
$9,0.701286166,0.048249854,0.174698257,0.046873929,0.269635805,-0.06053436,0.012620706,0.09292556,-0.003673934,0.005899184,0,0,0,0,0,0,1,0,0,0
$16,0.723907757,-0.158116175,0.372403917,0.197103309,-0.015856993,0.145641439,-0.006347728,-0.067479445,-0.099853449,0.111650415,0,0,0,0,0,0,0,0,1,0
$10,0.646268391,-0.154537858,0.173392526,0.297756942,0.01017297,0.083651068,-0.267453794,-0.028204353,0.028365924,0.061374557,0,0,0,0,0,0,0,1,0,0
$19,0.526743863,-0.178398572,0.282866037,-0.162089236,0.503835085,-0.135544806,0.070487818,-0.052586852,0.049087123,-0.072992642,0,0,0,0,0,0,0,0,0,0
$9,0.650868495,-0.072587391,0.319675271,0.002757164,0.470399942,-0.169592651,0.074770106,-0.015301005,0.039828822,0.001773336,0,0,0,0,0,0,0,0,0,0
$10,0.608796827,-0.168207945,0.305637643,0.077767348,-0.018759285,0.08300818,0.08305674,-0.036672019,-0.193675173,-0.037092617,0,0,0,0,0,0,0,0,1,0
$12,0.523844161,-0.071750819,0.202660782,-0.100534189,0.433188013,-0.143223866,0.091547503,0.064838549,0.009905126,-0.0553905,0,1,0,0,0,0,0,0,0,0
$16,0.642097971,-0.111293487,0.312776347,0.129685891,-0.067378981,-0.114839122,0.111386257,-0.00576489,0.018947231,0.096416301,0,0,0,1,0,0,0,0,0,0
$9,0.516548157,-0.076150994,0.252974331,-0.120722344,0.502850227,-0.189813972,0.066678343,-0.011912227,0.0315157,-0.090522613,0,1,0,0,0,0,0,0,0,0
$23,0.506553549,-0.309004435,-0.153762016,-0.02702059,-0.013130302,0.121759819,0.102538097,0.020453778,-0.191213234,0.012155802,0,0,1,0,0,1,0,0,0,0
$10,0.715481496,-0.122904306,0.230599858,0.301811051,0.018768822,-0.014163798,-0.152286392,-0.087001032,0.12641043,0.160749805,0,0,0,0,0,0,0,1,0,0
$18,0.491705706,-0.046843658,0.225403875,0.140323088,0.117267947,-0.054549488,-0.094594191,-0.032922625,0.143291099,0.123971874,1,0,0,0,0,0,1,0,0,0
$15,0.702958316,-0.381006519,-0.595324513,-0.017012004,0.002510154,-0.052453332,0.000278155,0.014564798,-0.002179632,0.018439865,1,0,1,0,0,1,1,1,0,0
$10,0.662009176,-0.108796635,0.2776119,0.123432433,0.064232793,0.115715691,0.026657218,0.006360376,-0.154423691,0.049065302,0,0,1,0,0,0,0,0,0,0
$19,0.579112642,-0.08096104,0.247212156,-0.105171145,0.513006463,-0.139837089,0.101182241,0.020279841,0.025004063,-0.007517122,0,1,0,0,0,0,0,0,0,0
$12,0.553500574,-0.196175845,0.223283347,0.078583676,0.011611273,0.209219507,-0.053328212,-0.063501078,-0.213926529,-0.098899846,0,0,1,0,0,0,0,0,1,0
$9,0.566318126,0.127397687,0.060542765,0.10185041,0.183862046,-0.072707556,-0.075789372,0.088478782,0.001899306,0.023608646,0,0,0,0,0,0,0,0,0,0
